species	decimalLongitude	decimalLatitude
Cebus capucinus	-84.804096	10.305822
Sciurus variegatoides	-84.70999	10.43795
Dasyprocta punctata	-84.120401	10.416001
Tamandua mexicana	-84.122186	10.415866
Cebus capucinus	-84.8043	10.3073
Bradypus variegatus	-84.004477	10.457605
Alouatta palliata	-85.83385	10.312799
Ectophylla alba	-84.005562	10.435704
Dasypus novemcinctus	-84.803139	10.304701
Choeroniscus godmani	-84.793329	10.305296
Alouatta palliata	-83.513443	10.562885
Choloepus hoffmanni	-84.121277	10.416062
Dasyprocta punctata	-84.141945	9.38281
Cebus capucinus	-83.886948	9.272655
Nasua narica	-84.806496	10.301274
Rhynchonycteris naso	-83.527281	10.593741
Alouatta palliata	-85.342983	10.772602
Choloepus hoffmanni	-83.346718	10.02859
Thyroptera discifera	-83.140503	8.660933
Dasyprocta punctata	-84.60434	9.771522
Nasua narica	-84.736092	10.450099
Alouatta palliata	-84.024886	10.456049
Tamandua mexicana	-84.73011	10.43951
Saimiri oerstedii	-84.138966	9.380857
Pecari tajacu	-83.595322	8.476689
Cebus capucinus	-83.527657	10.593448
Cebus imitator	-85.360857	10.780942
Sciurus granatensis	-82.959647	8.785569
Sciurus granatensis	-82.827	9.7349
Cebus capucinus	-82.825287	9.736211
Tamandua mexicana	-83.694006	8.671157
Sciurus granatensis	-82.854651	9.746219
Procyon cancrivorus	-83.747778	9.156624
Cebus capucinus	-83.527711	10.593437
Choloepus hoffmanni	-83.508909	10.543506
Cebus capucinus	-84.703259	10.428734
Sciurus variegatoides	-84.004173	10.431346
Sciurus granatensis	-83.800009	9.566389
Saccopteryx bilineata	-84.59001	9.773479
Nasua narica	-84.71035	10.437687
Sciurus granatensis	-84.232301	10.190568
Bradypus variegatus	-83.820054	10.203413
Alouatta palliata	-83.575868	8.545378
Ectophylla alba	-83.532084	10.595818
Saccopteryx bilineata	-84.607085	9.738069
Alouatta palliata	-83.285878	8.400573
Ateles geoffroyi	-85.594721	11.17371
Pecari tajacu	-84.006755	10.430508
Ateles geoffroyi	-84.685861	10.548727
Cebus imitator	-84.81456	10.305847
Eira barbara	-84.754214	10.487488
Cebus imitator	-84.82551	10.274968
Sciurus variegatoides	-84.817749	10.317183
Odocoileus virginianus	-84.136988	9.392308
Dasyprocta punctata	-82.723508	9.641762
Eptesicus chiriquinus	-83.139789	8.661448
Ateles geoffroyi	-82.604117	9.77239
Ateles geoffroyi	-83.489428	10.583185
Cebus imitator	-84.587002	9.781928
Nasua narica	-84.82551	10.274968
Cebus imitator	-85.409047	10.361047
Sciurus variegatoides	-83.859231	9.252431
Rhynchonycteris naso	-83.502222	10.541111
Cebus imitator	-85.757191	10.526214
Choloepus hoffmanni	-83.910453	10.258839
Ateles geoffroyi	-83.408463	8.525878
Ectophylla alba	-84.070522	10.490559
Alouatta palliata	-84.016742	10.473523
Puma concolor	-83.728829	8.631942
Sciurus variegatoides	-84.622855	9.721009
Cebus imitator	-84.72807	10.453468
Choloepus hoffmanni	-83.354962	10.314122
Cebus imitator	-85.349981	10.773942
Bradypus variegatus	-84.642628	10.477782
Dasyprocta punctata	-84.604753	9.774103
Bradypus variegatus	-83.520675	10.576654
Alouatta palliata	-84.004218	10.431228
Tamandua mexicana	-84.648631	10.482244
Alouatta palliata	-84.669085	9.990862
Alouatta palliata	-82.724784	9.636335
Nyctomys sumichrasti	-83.330772	8.698172
Dasypus novemcinctus	-84.15417	9.88333
Pecari tajacu	-84.009212	10.586401
Bradypus variegatus	-84.142806	9.383996
Alouatta palliata	-84.016975	10.446372
Desmodus rotundus	-84.02203	10.423268
Sciurus variegatoides	-84.703601	10.463577
Cebus imitator	-85.750467	10.529661
